VEN,NAME
VEN01,Ven Kuttikulam Premalankaa Thero
VEN02,Ven Koralegama Ghanawasa Thero
VEN03,Ven Doragamuwe Rathanasara Thero
VEN04,Ven Kiriwaththuduwe Ariyadara Thero
VEN05,Ven Katiyyawe Ananda Thero
VEN06,Ven Polgahawela Mithabhani Thero
VEN07,Pattana Deshanawa - Rev Kiriwaththuduwe Ariyadassaa Thero
VEN08,Ven Rathgama Suneetha Thero
VEN09,Ven Mapegamuwe Deepanana Thero
VEN10,Ven Kadulawa Ariyawansa Thero
VEN11,Ven Athuela Dhammagawei Thero
VEN12,Ven Doragamuwe Rathanasaa Thero
VEN13,Ven Kakirawe Sudaththa Thero
VEN14,Ven Lunugamwehera Naradha Thero
VEN15,Ven Meegamawaththe Wimalajoti Thero
VEN16,Ven Pelwatte Seewale Thero
VEN17,Ven PuwakHane Sumangalarathaa Thero
VEN18,Rev Kotaganwalle Saranathissa Thero 
VEN19,Ven Kotikawatte Dhammakusala Thero
VEN20,Ven Mapegamuwe DeepaNandaa Thero
VEN21,Ven Thalpawila Kusala Thero
VEN22,Ven Kiriwaththuduwe Ariyadara Thero
VEN23,Ven Ilwane Ananda Thero
VEN24,Ven Polgahawela Mithabhani himi - Achelapa Kashapa Thero
VEN25,Ven Kirama Rahula Thero
VEN26,Ven Madawala Dhammika Jinawansa Thero
VEN27,Ven Panadure Anana Thero
VEN28,Ven Kerthisirigama Sanganana Thero
VEN29,Ven Kiriwaththuduwe Ariyadassaa Thero
VEN30,Ven Athuela Dhammagawei Thero
VEN31,Ven Doragamuwe Rathanasaa Thero
VEN32,Ven wadunne Gnanawimala Thero
VEN33,Ven Puwakpitiye Sumangalarathana Thero
VEN34,Ven Wariyapola Wishudhi Thero
VEN35,Ven Kuttikulam Premalankara Thero
VEN36,Ven Mapegamuwe Deepananda Thero
VEN37,Ven Hadungamuwe Punyasara Thero
VEN38,Ven Korathota Wessabhu Thero
VEN39,Ven Kanthale Chandaransi Thero
VEN40,Pragna Wimuktha - Ven Kandegedara Sobitha Thero
VEN41,Ven Doloswala Udithadeera Thero
VEN41a,Ven Doloswala Udithadeera Thero - Sathdarma Sagara
VEN42,Ven Aluthgama Pannasara Thero
VEN43,Ven Athuela Dammagawesi Thero
VEN44,Ven Munnakulame Dammanada Thero - Jathika pothen Jeewitha pothata
VEN44a,Ven Pannala Dammisara Thero - Jathika pothen Jeewitha pothata
VEN45,Ven Waliwita Pangha Thero
VEN46,Ven Seevalipura Dhammobhasa Thero
VEN47,Ven Hagarangala Sumedha Thero
VEN48,Ven Iddamalgoda Vajiragnana Thero'
VEN49,Ven Madahapola Aanurudhdha Nayaka Thero
VEN50,Ven Vilachchiye Dhammavijaya Thero
VEN51,Ven Madihe Sugathasiri Thero
VEN52,Ven Alankulame Pemasiri Thero
VEN53,Ven Mellegama Piyarathana Thero 
VEN54,Ven Ampitiye Dammasidhi Thero
VEN55,Ven Sabala Jinodaya Thero
VEN56,Ven Galkisse Somananda Thero
VEN57,Ven Halmillakulame Sujathagnana Thero - Sadhaham Thakshalawa
VEN58,Ven Meegoda Sukitha Thero
VEN59,Ven Koralayagama Saranathissa Thero
VEN60,Ven Koralayagama Saranathissa Thero - Dhamma Nadeethitha Deshana
VEN61,Ven Kadhulawa Ariyavansha Thero
VEN62,Ven Pitigala Dammavinitha Thero
VEN63,Ven Rajanganaye Sumanasara Thero
VEN64,Ven Radhawadunne Gnanawimala Thero - Akurata Peramaga
VEN64a,Ven Radhawadunne Gnanawimala Thero
VEN65,Ven Kohowala Upananda Thero
VEN66,Ven Kotaneluwe Punnananda Thero
VEN67,Ven Higure Pannasekara Thero
VEN68,Ven Lenawala Thapassi Thero
VEN69,Ven Radhawe Weeradamma Thero 
VEN70,Ven Mellegama Piyarathana Thero
VEN71,Ven Kalaniye Kalyanavansha Thero
VEN72,Ven Kahagalle Ariyagnana Thero
VEN73,Ven Pusselle Rathana Jothi Thero
VEN74,Ven Marassana Jagara Thero
VEN75,Ven Somapura Sirisudhamma Thero
VEN76,Ven Kurunagala Dammanada Thero - Darmanu Lokanaya
VEN76a,Ven Kurunagala Dammanada Thero
VEN77,Sermon 1
VEN78,Ven Kurunegala Dhammananda Thero
VEN79,Ven Weherakele Saddhalankara Thero
VEN80,Ven Balangoda Ananda chandrakirthi Thero
VEN81,Ven Warakapalahene Sugathaghana Thero
VEN82,Ven Seewalipura Siridamma Udesha Thero
VEN83,Ven Neluwakande Gnanananda Thero
VEN84,Ven Olaganwatte Chandrasiri Thero
VEN85,Ven Maankadhawala Samahitha Thero
VEN86,Ven Delwala Saranasiri Thero
VEN87,Ven Kandegedara Sobitha Thero
VEN88,Ven Kelaniye Sasanawansa Thero
VEN89,Ven Siyabalagoda Damminda Thero
VEN90,Ven Karaputugala Rewatha Thero
VEN91,Ven Denike Ananda Thero
VEN92,Ven Divulankadawala Seelananda Thero 
VEN93,Ven Wilachchiye Pgangaloka Thero
VEN94,Ven Suriyavave Wijenaga Thero
VEN95,Ven Negethanne Pangathane Thero
VEN96,Ven Mathale Ananda Thero
VEN97,Ven Haapitigama Vijitha Thero
VEN98,Ven Alawathugirigama Panyasiri Thero
VEN99,Ven Rajasinghagama Thilakadamma Thero
VEN100,Ven Thalpawila Kusalagnana Thero
VEN101,Ven Pannala Dhammissara Thero
VEN102,Ven Kurunegala Dhammananda Thero - Darmawalokaya
VEN103,Ven Gombaddala Damitha Thero
VEN104,Ven Unawatune Wanshananda Thero
VEN105,Ven Madhawachichie Damma Kiththi Thero
VEN106,Ven Kohuwala Upananda Thero
VEN107,Ven Hendala Damitha Thero
VEN108,Ven Udagabbala Jinodhaya Thero
